GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kafka Producer Test Tool,com.kafkaproducertest.payload,HeaderFactory,0,70,0,2,0,14,0,5,0,4
Kafka Producer Test Tool,com.kafkaproducertest.payload,PayloadGenerator,0,105,0,10,0,21,0,8,0,3
Kafka Producer Test Tool,com.kafkaproducertest.payload,KeyGenerator,0,52,0,6,0,14,0,5,0,2
Kafka Producer Test Tool,com.kafkaproducertest.cli,ProducerTestApplicationRunner,28,92,2,8,9,27,2,6,0,3
Kafka Producer Test Tool,com.kafkaproducertest.cli,KafkaProducerTestApplication,11,0,0,0,5,0,2,0,2,0
Kafka Producer Test Tool,com.kafkaproducertest.kafka,NativeKafkaProducerFactory,0,14,0,0,0,2,0,2,0,2
Kafka Producer Test Tool,com.kafkaproducertest.kafka,ProducerConfigFactory,14,361,7,31,2,71,6,24,0,11
Kafka Producer Test Tool,com.kafkaproducertest.kafka,TopicProvisioner,28,114,2,8,7,29,2,7,0,4
Kafka Producer Test Tool,com.kafkaproducertest.config,AuthenticationMode,0,33,0,0,0,6,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.config,RunStatus,0,39,0,0,0,7,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Connection,0,22,0,0,0,8,0,5,0,5
Kafka Producer Test Tool,com.kafkaproducertest.config,ConfigurationValidator,103,457,54,90,20,115,49,41,1,17
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Security,27,99,0,0,13,39,7,24,7,24
Kafka Producer Test Tool,com.kafkaproducertest.config,SummaryFormat,15,0,0,0,3,0,1,0,1,0
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Topic,0,42,0,0,0,16,0,9,0,9
Kafka Producer Test Tool,com.kafkaproducertest.config,ConfigurationException,0,13,0,0,0,4,0,2,0,2
Kafka Producer Test Tool,com.kafkaproducertest.config,SensitiveValueMasker,0,54,1,11,0,10,1,9,0,4
Kafka Producer Test Tool,com.kafkaproducertest.config,EffectiveConfigurationPrinter,7,18,0,0,2,7,0,2,0,2
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Statistics,6,61,0,0,2,23,2,11,2,11
Kafka Producer Test Tool,com.kafkaproducertest.config,CompressionType,0,49,0,0,0,10,0,3,0,3
Kafka Producer Test Tool,com.kafkaproducertest.config,ExecutionMode,0,21,0,0,0,4,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.config,KeyMode,0,27,0,0,0,5,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties,0,133,0,0,0,45,0,23,0,23
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Key,0,31,0,0,0,12,0,7,0,7
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Producer,16,156,0,0,8,57,4,31,4,31
Kafka Producer Test Tool,com.kafkaproducertest.config,ApplicationConfig,0,11,0,0,0,2,0,2,0,2
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Headers,0,25,0,0,0,9,0,5,0,5
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Summary,0,53,0,0,0,20,0,11,0,11
Kafka Producer Test Tool,com.kafkaproducertest.config,PayloadMode,0,15,0,0,0,3,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.config,GssapiLoginMode,0,15,0,0,0,3,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Run,15,71,0,0,7,28,4,17,4,17
Kafka Producer Test Tool,com.kafkaproducertest.config,KafkaProducerTestProperties.Payload,0,62,0,0,0,25,0,15,0,15
Kafka Producer Test Tool,com.kafkaproducertest.config,ContentMode,0,21,0,0,0,4,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.execution,RunResult,0,15,0,0,0,1,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.execution,ProducerRunExecutor.Counters,0,48,0,0,0,10,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.execution,ProducerRunExecutor,169,573,34,30,33,124,30,18,2,14
Kafka Producer Test Tool,com.kafkaproducertest.execution,ProducerRunExecutor.SendReturn,0,9,0,0,0,1,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.util,OutputFilenameGenerator,0,15,0,0,0,3,0,2,0,2
Kafka Producer Test Tool,com.kafkaproducertest.statistics,SummaryWriter,0,43,1,1,0,12,1,4,0,4
Kafka Producer Test Tool,com.kafkaproducertest.statistics,LatencyHistogram,0,33,0,0,0,8,0,6,0,6
Kafka Producer Test Tool,com.kafkaproducertest.statistics,RunSummary,0,105,0,0,0,1,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.statistics,StatisticsPipeline,20,128,1,9,8,33,1,12,0,8
Kafka Producer Test Tool,com.kafkaproducertest.statistics,MessageStatistic,0,60,0,0,0,1,0,1,0,1
Kafka Producer Test Tool,com.kafkaproducertest.statistics,CsvStatisticsWriter,0,218,1,1,0,33,1,3,0,3
Kafka Producer Test Tool,com.kafkaproducertest.statistics,RunSummaryBuilder,0,102,0,2,0,25,0,4,0,3
